mask,frame,dataset,class_name
Endoscapes/train/Masks/Cystic Artery/100_27925.png,Endoscapes/train/Frames/100_27925.jpg,Endoscapes,Cystic Artery
Endoscapes/train/Masks/Cystic Artery/100_28675.png,Endoscapes/train/Frames/100_28675.jpg,Endoscapes,Cystic Artery
Endoscapes/train/Masks/Cystic Artery/100_29425.png,Endoscapes/train/Frames/100_29425.jpg,Endoscapes,Cystic Artery
Endoscapes/train/Masks/Cystic Artery/100_30175.png,Endoscapes/train/Frames/100_30175.jpg,Endoscapes,Cystic Artery
Endoscapes/train/Masks/Cystic Artery/100_30925.png,Endoscapes/train/Frames/100_30925.jpg,Endoscapes,Cystic Artery
Endoscapes/train/Masks/Cystic Artery/100_31675.png,Endoscapes/train/Frames/100_31675.jpg,Endoscapes,Cystic Artery
Endoscapes/train/Masks/Cystic Artery/100_32425.png,Endoscapes/train/Frames/100_32425.jpg,Endoscapes,Cystic Artery
Endoscapes/train/Masks/Cystic Artery/100_33925.png,Endoscapes/train/Frames/100_33925.jpg,Endoscapes,Cystic Artery
Endoscapes/train/Masks/Cystic Artery/100_34675.png,Endoscapes/train/Frames/100_34675.jpg,Endoscapes,Cystic Artery
Endoscapes/train/Masks/Cystic Artery/100_35425.png,Endoscapes/train/Frames/100_35425.jpg,Endoscapes,Cystic Artery
Endoscapes/train/Masks/Cystic Artery/100_36175.png,Endoscapes/train/Frames/100_36175.jpg,Endoscapes,Cystic Artery
Endoscapes/train/Masks/Cystic Artery/100_36925.png,Endoscapes/train/Frames/100_36925.jpg,Endoscapes,Cystic Artery
Endoscapes/train/Masks/Cystic Artery/102_32750.png,Endoscapes/train/Frames/102_32750.jpg,Endoscapes,Cystic Artery
Endoscapes/train/Masks/Cystic Artery/102_33500.png,Endoscapes/train/Frames/102_33500.jpg,Endoscapes,Cystic Artery
Endoscapes/train/Masks/Cystic Artery/102_34250.png,Endoscapes/train/Frames/102_34250.jpg,Endoscapes,Cystic Artery
Endoscapes/train/Masks/Cystic Artery/102_35000.png,Endoscapes/train/Frames/102_35000.jpg,Endoscapes,Cystic Artery
Endoscapes/train/Masks/Cystic Artery/102_35750.png,Endoscapes/train/Frames/102_35750.jpg,Endoscapes,Cystic Artery
