mask,frame,dataset,class_name
m2caiSeg/train/Masks/artery/20400.png,m2caiSeg/train/Frames/20400.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/20650.png,m2caiSeg/train/Frames/20650.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/20900.png,m2caiSeg/train/Frames/20900.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/21150.png,m2caiSeg/train/Frames/21150.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/21400.png,m2caiSeg/train/Frames/21400.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/21625.png,m2caiSeg/train/Frames/21625.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/22875.png,m2caiSeg/train/Frames/22875.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/23100.png,m2caiSeg/train/Frames/23100.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/23350.png,m2caiSeg/train/Frames/23350.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/23600.png,m2caiSeg/train/Frames/23600.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25025.png,m2caiSeg/train/Frames/25025.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25050.png,m2caiSeg/train/Frames/25050.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25075.png,m2caiSeg/train/Frames/25075.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25100.png,m2caiSeg/train/Frames/25100.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25150.png,m2caiSeg/train/Frames/25150.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25200.png,m2caiSeg/train/Frames/25200.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25225.png,m2caiSeg/train/Frames/25225.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25250.png,m2caiSeg/train/Frames/25250.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25275.png,m2caiSeg/train/Frames/25275.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25300.png,m2caiSeg/train/Frames/25300.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25325.png,m2caiSeg/train/Frames/25325.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25350.png,m2caiSeg/train/Frames/25350.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25400.png,m2caiSeg/train/Frames/25400.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25425.png,m2caiSeg/train/Frames/25425.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25500.png,m2caiSeg/train/Frames/25500.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25525.png,m2caiSeg/train/Frames/25525.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25550.png,m2caiSeg/train/Frames/25550.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25575.png,m2caiSeg/train/Frames/25575.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25600.png,m2caiSeg/train/Frames/25600.jpg,m2caiSeg,artery
m2caiSeg/train/Masks/artery/25625.png,m2caiSeg/train/Frames/25625.jpg,m2caiSeg,artery
